,d1,d2,plane_height,pass_height,cloud_height1,cloud_height2,cloud above plane height1,cloud above plane height1,roll,pitch,pixel height,x_target,pass_number,camera,timestamp,cloud_above_plane_height,pixel_height
47,21904.348786358987,1905.7772328256642,4540.1865,5041.0493,4929.916790426044,4574.091165294305,,,-0.82346666,1.9473678,,240,124,191919,2022-07-23 19:19:09,-466.95815111194497,344.0
48,22634.79359877516,1166.807692930303,4520.2603,5041.0493,4586.762829647721,4523.689218674155,,,0.38329938,1.9473678,,241,124,191919,2022-07-23 19:19:14,-517.3600977320948,321.0
49,20437.80194304094,3391.8657468649485,4607.433,5041.0493,3756.7328560606516,4466.24819627506,,,-3.9053097,1.9473678,,380,124,191919,2022-07-23 19:18:59,-574.8011201311901,252.0
50,18171.71635382704,5728.572703373441,4752.1367,5041.0493,7270.036350508261,5545.898423719536,,,-13.213361,1.9473678,,566,124,191919,2022-07-23 19:18:43,504.84910731328637,531.0
51,23069.50809079409,727.1747701352288,4510.1064,5041.0493,4562.995171582699,4511.773949095465,,,1.3158827,1.9473678,,218,124,191919,2022-07-23 19:19:17,-529.2753673107854,320.0
52,20730.16865483358,3095.148842847563,4591.26,5041.0493,4384.411409507318,4560.373441438857,,,-3.1216245,1.9473678,,380,124,191919,2022-07-23 19:19:01,-480.6758749673927,301.0
53,20876.795579863745,2946.4943336319675,4583.144,5041.0493,3849.005279267314,4479.5299574962555,,,-2.3621252,1.9473678,,380,124,191919,2022-07-23 19:19:02,-561.5193589099945,262.0
54,23213.91622204598,580.9974370780283,4507.668,5041.0493,4291.025014958363,4502.247167833723,,,1.6030483,1.9473678,,380,124,191919,2022-07-23 19:19:18,-538.8021485725267,302.8374652862549
55,19856.209259446165,3984.0419239158277,4644.3135,5041.0493,4228.178103184975,4560.815874308178,,,-6.1490073,1.9473678,,380,124,191919,2022-07-23 19:18:55,-480.2334420980724,284.0
56,23357.635387996626,435.58491389410574,4504.0103,5041.0493,4648.063176676614,4506.692380911238,,,0.62181103,1.9473678,,380,124,191919,2022-07-23 19:19:19,-534.3569354950123,326.56122851371765
57,22343.12811102026,1461.7975180777937,4527.728,5041.0493,4694.383215556802,4538.635777119108,,,-0.6733192,1.9473678,,202,124,191919,2022-07-23 19:19:12,-502.41353928714216,328.0
58,20001.293144944946,3836.056888366789,4634.7314,5041.0493,3995.9605129592383,4512.224404407988,,,-5.545,1.9473678,,392,124,191919,2022-07-23 19:18:56,-528.824911998262,267.0
59,18580.167030106713,5299.1243906975305,4729.1245,5041.0493,4795.718406036589,4748.118540855366,,,-13.814125,1.9473678,,380,124,191919,2022-07-23 19:18:46,-292.9307755508844,322.7859013080597
60,19140.67006577857,4717.867008254988,4692.32,5041.0493,5391.356875906864,4864.625941457392,,,-9.249886,1.9473678,,380,124,191919,2022-07-23 19:18:50,-176.4233749488576,373.9582328796387
